iter	Passed	Remaining
0	1	196
1	3	185
2	5	181
3	7	169
4	8	167
5	10	165
6	12	163
7	14	162
8	16	163
9	18	164
10	20	163
11	22	162
12	24	161
13	27	165
14	30	171
15	32	170
16	34	168
17	37	168
18	39	167
19	41	165
20	43	163
21	46	163
22	48	161
23	50	159
24	52	157
25	54	155
26	56	154
27	58	151
28	60	149
29	63	147
30	65	145
31	67	142
32	69	140
33	71	137
34	73	135
35	75	133
36	76	130
37	78	128
38	80	126
39	82	124
40	84	121
41	86	119
42	88	117
43	90	115
44	92	113
45	94	110
46	96	108
47	98	106
48	100	104
49	102	102
50	104	100
51	106	98
52	108	95
53	110	93
54	112	91
55	114	89
56	115	87
57	117	85
58	119	83
59	121	81
60	123	79
61	125	77
62	127	75
63	130	73
64	132	71
65	134	69
66	136	67
67	138	65
68	140	63
69	142	61
70	144	59
71	146	56
72	148	55
73	150	52
74	152	50
75	154	48
76	156	46
77	158	44
78	160	42
79	162	40
80	164	38
81	165	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	182	20
90	183	18
91	185	16
92	187	14
93	189	12
94	191	10
95	193	8
96	195	6
97	197	4
98	199	2
99	201	0
